STATISTIC Label,year,month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,1945,February,Base November 1975=100,Base = 100,
Consumer Price Index,1945,February,Base November 1982=100,Base = 100,
Consumer Price Index,1945,February,Base November 1989=100,Base = 100,
Consumer Price Index,1945,February,Base November 1996=100,Base = 100,
Consumer Price Index,1945,February,Base December 2001=100,Base = 100,
Consumer Price Index,1945,February,Base December 2006=100,Base = 100,
Consumer Price Index,1945,February,Base December 2011=100,Base = 100,
Consumer Price Index,1945,February,Base December 2016=100,Base = 100,
Consumer Price Index,1945,February,Base December 2023=100,Base = 100,
Consumer Price Index,1945,March,Base July 1914=100,Base = 100,295
Consumer Price Index,1945,March,Base August 1947=100,Base = 100,
Consumer Price Index,1945,March,Base August 1953=100,Base = 100,
Consumer Price Index,1945,March,Base November 1968=100,Base = 100,
Consumer Price Index,1945,March,Base November 1975=100,Base = 100,
Consumer Price Index,1945,March,Base November 1982=100,Base = 100,
Consumer Price Index,1945,March,Base November 1989=100,Base = 100,
Consumer Price Index,1945,March,Base November 1996=100,Base = 100,
Consumer Price Index,1945,March,Base December 2001=100,Base = 100,
Consumer Price Index,1945,March,Base December 2006=100,Base = 100,
Consumer Price Index,1945,March,Base December 2011=100,Base = 100,
Consumer Price Index,1945,March,Base December 2016=100,Base = 100,
Consumer Price Index,1945,March,Base December 2023=100,Base = 100,
Consumer Price Index,1945,April,Base July 1914=100,Base = 100,292
Consumer Price Index,1945,April,Base August 1947=100,Base = 100,
Consumer Price Index,1945,April,Base August 1953=100,Base = 100,
Consumer Price Index,1945,April,Base November 1968=100,Base = 100,
Consumer Price Index,1945,April,Base November 1975=100,Base = 100,
Consumer Price Index,1945,April,Base November 1982=100,Base = 100,
Consumer Price Index,1945,April,Base November 1989=100,Base = 100,
Consumer Price Index,1945,April,Base November 1996=100,Base = 100,
Consumer Price Index,1945,April,Base December 2001=100,Base = 100,
Consumer Price Index,1945,April,Base December 2006=100,Base = 100,
Consumer Price Index,1945,April,Base December 2011=100,Base = 100,
Consumer Price Index,1945,April,Base December 2016=100,Base = 100,
Consumer Price Index,1945,April,Base December 2023=100,Base = 100,
Consumer Price Index,1945,May,Base July 1914=100,Base = 100,292
Consumer Price Index,1945,May,Base August 1947=100,Base = 100,
Consumer Price Index,1945,May,Base August 1953=100,Base = 100,
Consumer Price Index,1945,May,Base November 1968=100,Base = 100,
Consumer Price Index,1945,May,Base November 1975=100,Base = 100,
Consumer Price Index,1945,May,Base November 1982=100,Base = 100,
Consumer Price Index,1945,May,Base November 1989=100,Base = 100,
Consumer Price Index,1945,May,Base November 1996=100,Base = 100,
Consumer Price Index,1945,May,Base December 2001=100,Base = 100,
Consumer Price Index,1945,May,Base December 2006=100,Base = 100,
Consumer Price Index,1945,May,Base December 2011=100,Base = 100,
Consumer Price Index,1945,May,Base December 2016=100,Base = 100,
Consumer Price Index,1945,May,Base December 2023=100,Base = 100,
Consumer Price Index,1945,June,Base July 1914=100,Base = 100,292
Consumer Price Index,1945,June,Base August 1947=100,Base = 100,
Consumer Price Index,1945,June,Base August 1953=100,Base = 100,
Consumer Price Index,1945,June,Base November 1968=100,Base = 100,
Consumer Price Index,1945,June,Base November 1975=100,Base = 100,
Consumer Price Index,1945,June,Base November 1982=100,Base = 100,
Consumer Price Index,1945,June,Base November 1989=100,Base = 100,
Consumer Price Index,1945,June,Base November 1996=100,Base = 100,
Consumer Price Index,1945,June,Base December 2001=100,Base = 100,
Consumer Price Index,1945,June,Base December 2006=100,Base = 100,
Consumer Price Index,1945,June,Base December 2011=100,Base = 100,
Consumer Price Index,1945,June,Base December 2016=100,Base = 100,
Consumer Price Index,1945,June,Base December 2023=100,Base = 100,
Consumer Price Index,1945,July,Base July 1914=100,Base = 100,293
Consumer Price Index,1945,July,Base August 1947=100,Base = 100,
Consumer Price Index,1945,July,Base August 1953=100,Base = 100,
Consumer Price Index,1945,July,Base November 1968=100,Base = 100,
Consumer Price Index,1945,July,Base November 1975=100,Base = 100,
Consumer Price Index,1945,July,Base November 1982=100,Base = 100,
Consumer Price Index,1945,July,Base November 1989=100,Base = 100,
Consumer Price Index,1945,July,Base November 1996=100,Base = 100,
Consumer Price Index,1945,July,Base December 2001=100,Base = 100,
Consumer Price Index,1945,July,Base December 2006=100,Base = 100,
Consumer Price Index,1945,July,Base December 2011=100,Base = 100,
Consumer Price Index,1945,July,Base December 2016=100,Base = 100,
Consumer Price Index,1945,July,Base December 2023=100,Base = 100,
Consumer Price Index,1945,August,Base July 1914=100,Base = 100,293
Consumer Price Index,1945,August,Base August 1947=100,Base = 100,
Consumer Price Index,1945,August,Base August 1953=100,Base = 100,
Consumer Price Index,1945,August,Base November 1968=100,Base = 100,
Consumer Price Index,1945,August,Base November 1975=100,Base = 100,
Consumer Price Index,1945,August,Base November 1982=100,Base = 100,
Consumer Price Index,1945,August,Base November 1989=100,Base = 100,
Consumer Price Index,1945,August,Base November 1996=100,Base = 100,
Consumer Price Index,1945,August,Base December 2001=100,Base = 100,
Consumer Price Index,1945,August,Base December 2006=100,Base = 100,
Consumer Price Index,1945,August,Base December 2011=100,Base = 100,
Consumer Price Index,1945,August,Base December 2016=100,Base = 100,
Consumer Price Index,1945,August,Base December 2023=100,Base = 100,
Consumer Price Index,1945,September,Base July 1914=100,Base = 100,293
Consumer Price Index,1945,September,Base August 1947=100,Base = 100,
Consumer Price Index,1945,September,Base August 1953=100,Base = 100,
Consumer Price Index,1945,September,Base November 1968=100,Base = 100,
Consumer Price Index,1945,September,Base November 1975=100,Base = 100,
Consumer Price Index,1945,September,Base November 1982=100,Base = 100,
Consumer Price Index,1945,September,Base November 1989=100,Base = 100,
Consumer Price Index,1945,September,Base November 1996=100,Base = 100,
Consumer Price Index,1945,September,Base December 2001=100,Base = 100,
Consumer Price Index,1945,September,Base December 2006=100,Base = 100,
Consumer Price Index,1945,September,Base December 2011=100,Base = 100,
Consumer Price Index,1945,September,Base December 2016=100,Base = 100,
Consumer Price Index,1945,September,Base December 2023=100,Base = 100,
Consumer Price Index,1945,October,Base July 1914=100,Base = 100,298
Consumer Price Index,1945,October,Base August 1947=100,Base = 100,
Consumer Price Index,1945,October,Base August 1953=100,Base = 100,
Consumer Price Index,1945,October,Base November 1968=100,Base = 100,
Consumer Price Index,1945,October,Base November 1975=100,Base = 100,
Consumer Price Index,1945,October,Base November 1982=100,Base = 100,
Consumer Price Index,1945,October,Base November 1989=100,Base = 100,
Consumer Price Index,1945,October,Base November 1996=100,Base = 100,
Consumer Price Index,1945,October,Base December 2001=100,Base = 100,
Consumer Price Index,1945,October,Base December 2006=100,Base = 100,
Consumer Price Index,1945,October,Base December 2011=100,Base = 100,
Consumer Price Index,1945,October,Base December 2016=100,Base = 100,
Consumer Price Index,1945,October,Base December 2023=100,Base = 100,
Consumer Price Index,1945,November,Base July 1914=100,Base = 100,298
Consumer Price Index,1945,November,Base August 1947=100,Base = 100,
Consumer Price Index,1945,November,Base August 1953=100,Base = 100,
Consumer Price Index,1945,November,Base November 1968=100,Base = 100,
Consumer Price Index,1945,November,Base November 1975=100,Base = 100,
Consumer Price Index,1945,November,Base November 1982=100,Base = 100,
Consumer Price Index,1945,November,Base November 1989=100,Base = 100,
Consumer Price Index,1945,November,Base November 1996=100,Base = 100,
Consumer Price Index,1945,November,Base December 2001=100,Base = 100,
Consumer Price Index,1945,November,Base December 2006=100,Base = 100,
Consumer Price Index,1945,November,Base December 2011=100,Base = 100,
Consumer Price Index,1945,November,Base December 2016=100,Base = 100,
Consumer Price Index,1945,November,Base December 2023=100,Base = 100,
Consumer Price Index,1945,December,Base July 1914=100,Base = 100,298
Consumer Price Index,1945,December,Base August 1947=100,Base = 100,
Consumer Price Index,1945,December,Base August 1953=100,Base = 100,
Consumer Price Index,1945,December,Base November 1968=100,Base = 100,
Consumer Price Index,1945,December,Base November 1975=100,Base = 100,
Consumer Price Index,1945,December,Base November 1982=100,Base = 100,
Consumer Price Index,1945,December,Base November 1989=100,Base = 100,
Consumer Price Index,1945,December,Base November 1996=100,Base = 100,
Consumer Price Index,1945,December,Base December 2001=100,Base = 100,
Consumer Price Index,1945,December,Base December 2006=100,Base = 100,
Consumer Price Index,1945,December,Base December 2011=100,Base = 100,
Consumer Price Index,1945,December,Base December 2016=100,Base = 100,
Consumer Price Index,1945,December,Base December 2023=100,Base = 100,
Consumer Price Index,1946,January,Base July 1914=100,Base = 100,294
Consumer Price Index,1946,January,Base August 1947=100,Base = 100,
Consumer Price Index,1946,January,Base August 1953=100,Base = 100,
Consumer Price Index,1946,January,Base November 1968=100,Base = 100,
Consumer Price Index,1946,January,Base November 1975=100,Base = 100,
Consumer Price Index,1946,January,Base November 1982=100,Base = 100,
Consumer Price Index,1946,January,Base November 1989=100,Base = 100,
Consumer Price Index,1946,January,Base November 1996=100,Base = 100,
Consumer Price Index,1946,January,Base December 2001=100,Base = 100,
Consumer Price Index,1946,January,Base December 2006=100,Base = 100,
Consumer Price Index,1946,January,Base December 2011=100,Base = 100,
Consumer Price Index,1946,January,Base December 2016=100,Base = 100,
Consumer Price Index,1946,January,Base December 2023=100,Base = 100,
Consumer Price Index,1946,February,Base July 1914=100,Base = 100,294
Consumer Price Index,1946,February,Base August 1947=100,Base = 100,
Consumer Price Index,1946,February,Base August 1953=100,Base = 100,
Consumer Price Index,1946,February,Base November 1968=100,Base = 100,
Consumer Price Index,1946,February,Base November 1975=100,Base = 100,
Consumer Price Index,1946,February,Base November 1982=100,Base = 100,
Consumer Price Index,1946,February,Base November 1989=100,Base = 100,
Consumer Price Index,1946,February,Base November 1996=100,Base = 100,
Consumer Price Index,1946,February,Base December 2001=100,Base = 100,
Consumer Price Index,1946,February,Base December 2006=100,Base = 100,
Consumer Price Index,1946,February,Base December 2011=100,Base = 100,
Consumer Price Index,1946,February,Base December 2016=100,Base = 100,
Consumer Price Index,1946,February,Base December 2023=100,Base = 100,
Consumer Price Index,1946,March,Base July 1914=100,Base = 100,294
Consumer Price Index,1946,March,Base August 1947=100,Base = 100,
Consumer Price Index,1946,March,Base August 1953=100,Base = 100,
Consumer Price Index,1946,March,Base November 1968=100,Base = 100,
Consumer Price Index,1946,March,Base November 1975=100,Base = 100,
Consumer Price Index,1946,March,Base November 1982=100,Base = 100,
Consumer Price Index,1946,March,Base November 1989=100,Base = 100,
Consumer Price Index,1946,March,Base November 1996=100,Base = 100,
Consumer Price Index,1946,March,Base December 2001=100,Base = 100,
Consumer Price Index,1946,March,Base December 2006=100,Base = 100,
Consumer Price Index,1946,March,Base December 2011=100,Base = 100,
Consumer Price Index,1946,March,Base December 2016=100,Base = 100,
Consumer Price Index,1946,March,Base December 2023=100,Base = 100,
Consumer Price Index,1946,April,Base July 1914=100,Base = 100,287
Consumer Price Index,1946,April,Base August 1947=100,Base = 100,
Consumer Price Index,1946,April,Base August 1953=100,Base = 100,
Consumer Price Index,1946,April,Base November 1968=100,Base = 100,
Consumer Price Index,1946,April,Base November 1975=100,Base = 100,
Consumer Price Index,1946,April,Base November 1982=100,Base = 100,
Consumer Price Index,1946,April,Base November 1989=100,Base = 100,
Consumer Price Index,1946,April,Base November 1996=100,Base = 100,
Consumer Price Index,1946,April,Base December 2001=100,Base = 100,
Consumer Price Index,1946,April,Base December 2006=100,Base = 100,
Consumer Price Index,1946,April,Base December 2011=100,Base = 100,
Consumer Price Index,1946,April,Base December 2016=100,Base = 100,
Consumer Price Index,1946,April,Base December 2023=100,Base = 100,
Consumer Price Index,1946,May,Base July 1914=100,Base = 100,287
Consumer Price Index,1946,May,Base August 1947=100,Base = 100,
Consumer Price Index,1946,May,Base August 1953=100,Base = 100,
Consumer Price Index,1946,May,Base November 1968=100,Base = 100,
Consumer Price Index,1946,May,Base November 1975=100,Base = 100,
Consumer Price Index,1946,May,Base November 1982=100,Base = 100,
Consumer Price Index,1946,May,Base November 1989=100,Base = 100,
Consumer Price Index,1946,May,Base November 1996=100,Base = 100,
Consumer Price Index,1946,May,Base December 2001=100,Base = 100,
Consumer Price Index,1946,May,Base December 2006=100,Base = 100,
Consumer Price Index,1946,May,Base December 2011=100,Base = 100,
Consumer Price Index,1946,May,Base December 2016=100,Base = 100,
Consumer Price Index,1946,May,Base December 2023=100,Base = 100,
Consumer Price Index,1946,June,Base July 1914=100,Base = 100,287
Consumer Price Index,1946,June,Base August 1947=100,Base = 100,
Consumer Price Index,1946,June,Base August 1953=100,Base = 100,
Consumer Price Index,1946,June,Base November 1968=100,Base = 100,
Consumer Price Index,1946,June,Base November 1975=100,Base = 100,
Consumer Price Index,1946,June,Base November 1982=100,Base = 100,
Consumer Price Index,1946,June,Base November 1989=100,Base = 100,
Consumer Price Index,1946,June,Base November 1996=100,Base = 100,
Consumer Price Index,1946,June,Base December 2001=100,Base = 100,
Consumer Price Index,1946,June,Base December 2006=100,Base = 100,
Consumer Price Index,1946,June,Base December 2011=100,Base = 100,
Consumer Price Index,1946,June,Base December 2016=100,Base = 100,
Consumer Price Index,1946,June,Base December 2023=100,Base = 100,
Consumer Price Index,1946,July,Base July 1914=100,Base = 100,288
Consumer Price Index,1946,July,Base August 1947=100,Base = 100,
Consumer Price Index,1946,July,Base August 1953=100,Base = 100,
Consumer Price Index,1946,July,Base November 1968=100,Base = 100,
Consumer Price Index,1946,July,Base November 1975=100,Base = 100,
Consumer Price Index,1946,July,Base November 1982=100,Base = 100,
Consumer Price Index,1946,July,Base November 1989=100,Base = 100,
Consumer Price Index,1946,July,Base November 1996=100,Base = 100,
Consumer Price Index,1946,July,Base December 2001=100,Base = 100,
Consumer Price Index,1946,July,Base December 2006=100,Base = 100,
Consumer Price Index,1946,July,Base December 2011=100,Base = 100,
Consumer Price Index,1946,July,Base December 2016=100,Base = 100,
Consumer Price Index,1946,July,Base December 2023=100,Base = 100,
Consumer Price Index,1946,August,Base July 1914=100,Base = 100,288
Consumer Price Index,1946,August,Base August 1947=100,Base = 100,
Consumer Price Index,1946,August,Base August 1953=100,Base = 100,
Consumer Price Index,1946,August,Base November 1968=100,Base = 100,
Consumer Price Index,1946,August,Base November 1975=100,Base = 100,
Consumer Price Index,1946,August,Base November 1982=100,Base = 100,
Consumer Price Index,1946,August,Base November 1989=100,Base = 100,
Consumer Price Index,1946,August,Base November 1996=100,Base = 100,
Consumer Price Index,1946,August,Base December 2001=100,Base = 100,
Consumer Price Index,1946,August,Base December 2006=100,Base = 100,
Consumer Price Index,1946,August,Base December 2011=100,Base = 100,
Consumer Price Index,1946,August,Base December 2016=100,Base = 100,
Consumer Price Index,1946,August,Base December 2023=100,Base = 100,
Consumer Price Index,1946,September,Base July 1914=100,Base = 100,288
Consumer Price Index,1946,September,Base August 1947=100,Base = 100,
Consumer Price Index,1946,September,Base August 1953=100,Base = 100,
Consumer Price Index,1946,September,Base November 1968=100,Base = 100,
Consumer Price Index,1946,September,Base November 1975=100,Base = 100,
Consumer Price Index,1946,September,Base November 1982=100,Base = 100,
Consumer Price Index,1946,September,Base November 1989=100,Base = 100,
Consumer Price Index,1946,September,Base November 1996=100,Base = 100,
Consumer Price Index,1946,September,Base December 2001=100,Base = 100,
Consumer Price Index,1946,September,Base December 2006=100,Base = 100,
Consumer Price Index,1946,September,Base December 2011=100,Base = 100,
Consumer Price Index,1946,September,Base December 2016=100,Base = 100,
Consumer Price Index,1946,September,Base December 2023=100,Base = 100,
Consumer Price Index,1946,October,Base July 1914=100,Base = 100,293
Consumer Price Index,1946,October,Base August 1947=100,Base = 100,
Consumer Price Index,1946,October,Base August 1953=100,Base = 100,
Consumer Price Index,1946,October,Base November 1968=100,Base = 100,
Consumer Price Index,1946,October,Base November 1975=100,Base = 100,
Consumer Price Index,1946,October,Base November 1982=100,Base = 100,
Consumer Price Index,1946,October,Base November 1989=100,Base = 100,
Consumer Price Index,1946,October,Base November 1996=100,Base = 100,
Consumer Price Index,1946,October,Base December 2001=100,Base = 100,
Consumer Price Index,1946,October,Base December 2006=100,Base = 100,
Consumer Price Index,1946,October,Base December 2011=100,Base = 100,
Consumer Price Index,1946,October,Base December 2016=100,Base = 100,
Consumer Price Index,1946,October,Base December 2023=100,Base = 100,
Consumer Price Index,1946,November,Base July 1914=100,Base = 100,293
Consumer Price Index,1946,November,Base August 1947=100,Base = 100,
Consumer Price Index,1946,November,Base August 1953=100,Base = 100,
Consumer Price Index,1946,November,Base November 1968=100,Base = 100,
Consumer Price Index,1946,November,Base November 1975=100,Base = 100,
Consumer Price Index,1946,November,Base November 1982=100,Base = 100,
Consumer Price Index,1946,November,Base November 1989=100,Base = 100,
Consumer Price Index,1946,November,Base November 1996=100,Base = 100,
Consumer Price Index,1946,November,Base December 2001=100,Base = 100,
Consumer Price Index,1946,November,Base December 2006=100,Base = 100,
Consumer Price Index,1946,November,Base December 2011=100,Base = 100,
Consumer Price Index,1946,November,Base December 2016=100,Base = 100,
Consumer Price Index,1946,November,Base December 2023=100,Base = 100,
Consumer Price Index,1946,December,Base July 1914=100,Base = 100,293
Consumer Price Index,1946,December,Base August 1947=100,Base = 100,
Consumer Price Index,1946,December,Base August 1953=100,Base = 100,
Consumer Price Index,1946,December,Base November 1968=100,Base = 100,
Consumer Price Index,1946,December,Base November 1975=100,Base = 100,
Consumer Price Index,1946,December,Base November 1982=100,Base = 100,
Consumer Price Index,1946,December,Base November 1989=100,Base = 100,
Consumer Price Index,1946,December,Base November 1996=100,Base = 100,
Consumer Price Index,1946,December,Base December 2001=100,Base = 100,
Consumer Price Index,1946,December,Base December 2006=100,Base = 100,
Consumer Price Index,1946,December,Base December 2011=100,Base = 100,
Consumer Price Index,1946,December,Base December 2016=100,Base = 100,
Consumer Price Index,1946,December,Base December 2023=100,Base = 100,
Consumer Price Index,1947,January,Base July 1914=100,Base = 100,295
Consumer Price Index,1947,January,Base August 1947=100,Base = 100,
Consumer Price Index,1947,January,Base August 1953=100,Base = 100,
Consumer Price Index,1947,January,Base November 1968=100,Base = 100,
Consumer Price Index,1947,January,Base November 1975=100,Base = 100,
Consumer Price Index,1947,January,Base November 1982=100,Base = 100,
Consumer Price Index,1947,January,Base November 1989=100,Base = 100,
Consumer Price Index,1947,January,Base November 1996=100,Base = 100,
Consumer Price Index,1947,January,Base December 2001=100,Base = 100,
Consumer Price Index,1947,January,Base December 2006=100,Base = 100,
Consumer Price Index,1947,January,Base December 2011=100,Base = 100,
Consumer Price Index,1947,January,Base December 2016=100,Base = 100,
Consumer Price Index,1947,January,Base December 2023=100,Base = 100,
Consumer Price Index,1947,February,Base July 1914=100,Base = 100,295
Consumer Price Index,1947,February,Base August 1947=100,Base = 100,
Consumer Price Index,1947,February,Base August 1953=100,Base = 100,
Consumer Price Index,1947,February,Base November 1968=100,Base = 100,
Consumer Price Index,1947,February,Base November 1975=100,Base = 100,
Consumer Price Index,1947,February,Base November 1982=100,Base = 100,
Consumer Price Index,1947,February,Base November 1989=100,Base = 100,
Consumer Price Index,1947,February,Base November 1996=100,Base = 100,
Consumer Price Index,1947,February,Base December 2001=100,Base = 100,
Consumer Price Index,1947,February,Base December 2006=100,Base = 100,
Consumer Price Index,1947,February,Base December 2011=100,Base = 100,
Consumer Price Index,1947,February,Base December 2016=100,Base = 100,
Consumer Price Index,1947,February,Base December 2023=100,Base = 100,
Consumer Price Index,1947,March,Base July 1914=100,Base = 100,295
Consumer Price Index,1947,March,Base August 1947=100,Base = 100,
Consumer Price Index,1947,March,Base August 1953=100,Base = 100,
Consumer Price Index,1947,March,Base November 1968=100,Base = 100,
Consumer Price Index,1947,March,Base November 1975=100,Base = 100,
Consumer Price Index,1947,March,Base November 1982=100,Base = 100,
Consumer Price Index,1947,March,Base November 1989=100,Base = 100,
Consumer Price Index,1947,March,Base November 1996=100,Base = 100,
Consumer Price Index,1947,March,Base December 2001=100,Base = 100,
Consumer Price Index,1947,March,Base December 2006=100,Base = 100,
Consumer Price Index,1947,March,Base December 2011=100,Base = 100,
Consumer Price Index,1947,March,Base December 2016=100,Base = 100,
Consumer Price Index,1947,March,Base December 2023=100,Base = 100,
Consumer Price Index,1947,April,Base July 1914=100,Base = 100,305
Consumer Price Index,1947,April,Base August 1947=100,Base = 100,
Consumer Price Index,1947,April,Base August 1953=100,Base = 100,
Consumer Price Index,1947,April,Base November 1968=100,Base = 100,
Consumer Price Index,1947,April,Base November 1975=100,Base = 100,
Consumer Price Index,1947,April,Base November 1982=100,Base = 100,
Consumer Price Index,1947,April,Base November 1989=100,Base = 100,
Consumer Price Index,1947,April,Base November 1996=100,Base = 100,
Consumer Price Index,1947,April,Base December 2001=100,Base = 100,
Consumer Price Index,1947,April,Base December 2006=100,Base = 100,
Consumer Price Index,1947,April,Base December 2011=100,Base = 100,
Consumer Price Index,1947,April,Base December 2016=100,Base = 100,
Consumer Price Index,1947,April,Base December 2023=100,Base = 100,
Consumer Price Index,1947,May,Base July 1914=100,Base = 100,305
Consumer Price Index,1947,May,Base August 1947=100,Base = 100,
Consumer Price Index,1947,May,Base August 1953=100,Base = 100,
Consumer Price Index,1947,May,Base November 1968=100,Base = 100,
Consumer Price Index,1947,May,Base November 1975=100,Base = 100,
Consumer Price Index,1947,May,Base November 1982=100,Base = 100,
Consumer Price Index,1947,May,Base November 1989=100,Base = 100,
Consumer Price Index,1947,May,Base November 1996=100,Base = 100,
Consumer Price Index,1947,May,Base December 2001=100,Base = 100,
Consumer Price Index,1947,May,Base December 2006=100,Base = 100,
Consumer Price Index,1947,May,Base December 2011=100,Base = 100,
Consumer Price Index,1947,May,Base December 2016=100,Base = 100,
Consumer Price Index,1947,May,Base December 2023=100,Base = 100,
Consumer Price Index,1947,June,Base July 1914=100,Base = 100,305
Consumer Price Index,1947,June,Base August 1947=100,Base = 100,
Consumer Price Index,1947,June,Base August 1953=100,Base = 100,
Consumer Price Index,1947,June,Base November 1968=100,Base = 100,
Consumer Price Index,1947,June,Base November 1975=100,Base = 100,
Consumer Price Index,1947,June,Base November 1982=100,Base = 100,
Consumer Price Index,1947,June,Base November 1989=100,Base = 100,
Consumer Price Index,1947,June,Base November 1996=100,Base = 100,
Consumer Price Index,1947,June,Base December 2001=100,Base = 100,
Consumer Price Index,1947,June,Base December 2006=100,Base = 100,
Consumer Price Index,1947,June,Base December 2011=100,Base = 100,
Consumer Price Index,1947,June,Base December 2016=100,Base = 100,
Consumer Price Index,1947,June,Base December 2023=100,Base = 100,
Consumer Price Index,1947,July,Base July 1914=100,Base = 100,319
Consumer Price Index,1947,July,Base August 1947=100,Base = 100,
Consumer Price Index,1947,July,Base August 1953=100,Base = 100,
Consumer Price Index,1947,July,Base November 1968=100,Base = 100,
Consumer Price Index,1947,July,Base November 1975=100,Base = 100,
Consumer Price Index,1947,July,Base November 1982=100,Base = 100,
Consumer Price Index,1947,July,Base November 1989=100,Base = 100,
Consumer Price Index,1947,July,Base November 1996=100,Base = 100,
Consumer Price Index,1947,July,Base December 2001=100,Base = 100,
Consumer Price Index,1947,July,Base December 2006=100,Base = 100,
Consumer Price Index,1947,July,Base December 2011=100,Base = 100,
Consumer Price Index,1947,July,Base December 2016=100,Base = 100,
Consumer Price Index,1947,July,Base December 2023=100,Base = 100,
Consumer Price Index,1947,August,Base July 1914=100,Base = 100,319
Consumer Price Index,1947,August,Base August 1947=100,Base = 100,100
Consumer Price Index,1947,August,Base August 1953=100,Base = 100,
Consumer Price Index,1947,August,Base November 1968=100,Base = 100,
Consumer Price Index,1947,August,Base November 1975=100,Base = 100,
Consumer Price Index,1947,August,Base November 1982=100,Base = 100,
Consumer Price Index,1947,August,Base November 1989=100,Base = 100,
Consumer Price Index,1947,August,Base November 1996=100,Base = 100,
Consumer Price Index,1947,August,Base December 2001=100,Base = 100,
Consumer Price Index,1947,August,Base December 2006=100,Base = 100,
Consumer Price Index,1947,August,Base December 2011=100,Base = 100,
Consumer Price Index,1947,August,Base December 2016=100,Base = 100,
Consumer Price Index,1947,August,Base December 2023=100,Base = 100,
Consumer Price Index,1947,September,Base July 1914=100,Base = 100,319
Consumer Price Index,1947,September,Base August 1947=100,Base = 100,100
Consumer Price Index,1947,September,Base August 1953=100,Base = 100,
Consumer Price Index,1947,September,Base November 1968=100,Base = 100,
Consumer Price Index,1947,September,Base November 1975=100,Base = 100,
Consumer Price Index,1947,September,Base November 1982=100,Base = 100,
Consumer Price Index,1947,September,Base November 1989=100,Base = 100,
Consumer Price Index,1947,September,Base November 1996=100,Base = 100,
Consumer Price Index,1947,September,Base December 2001=100,Base = 100,
Consumer Price Index,1947,September,Base December 2006=100,Base = 100,
Consumer Price Index,1947,September,Base December 2011=100,Base = 100,
Consumer Price Index,1947,September,Base December 2016=100,Base = 100,
Consumer Price Index,1947,September,Base December 2023=100,Base = 100,
Consumer Price Index,1947,October,Base July 1914=100,Base = 100,309
Consumer Price Index,1947,October,Base August 1947=100,Base = 100,97
Consumer Price Index,1947,October,Base August 1953=100,Base = 100,
Consumer Price Index,1947,October,Base November 1968=100,Base = 100,
Consumer Price Index,1947,October,Base November 1975=100,Base = 100,
Consumer Price Index,1947,October,Base November 1982=100,Base = 100,
Consumer Price Index,1947,October,Base November 1989=100,Base = 100,
Consumer Price Index,1947,October,Base November 1996=100,Base = 100,
Consumer Price Index,1947,October,Base December 2001=100,Base = 100,
Consumer Price Index,1947,October,Base December 2006=100,Base = 100,
Consumer Price Index,1947,October,Base December 2011=100,Base = 100,
Consumer Price Index,1947,October,Base December 2016=100,Base = 100,
Consumer Price Index,1947,October,Base December 2023=100,Base = 100,
Consumer Price Index,1947,November,Base July 1914=100,Base = 100,309
Consumer Price Index,1947,November,Base August 1947=100,Base = 100,97
Consumer Price Index,1947,November,Base August 1953=100,Base = 100,
Consumer Price Index,1947,November,Base November 1968=100,Base = 100,
Consumer Price Index,1947,November,Base November 1975=100,Base = 100,
Consumer Price Index,1947,November,Base November 1982=100,Base = 100,
Consumer Price Index,1947,November,Base November 1989=100,Base = 100,
Consumer Price Index,1947,November,Base November 1996=100,Base = 100,
Consumer Price Index,1947,November,Base December 2001=100,Base = 100,
Consumer Price Index,1947,November,Base December 2006=100,Base = 100,
Consumer Price Index,1947,November,Base December 2011=100,Base = 100,
Consumer Price Index,1947,November,Base December 2016=100,Base = 100,
Consumer Price Index,1947,November,Base December 2023=100,Base = 100,
Consumer Price Index,1947,December,Base July 1914=100,Base = 100,309
Consumer Price Index,1947,December,Base August 1947=100,Base = 100,97
Consumer Price Index,1947,December,Base August 1953=100,Base = 100,
Consumer Price Index,1947,December,Base November 1968=100,Base = 100,
Consumer Price Index,1947,December,Base November 1975=100,Base = 100,
Consumer Price Index,1947,December,Base November 1982=100,Base = 100,
Consumer Price Index,1947,December,Base November 1989=100,Base = 100,
Consumer Price Index,1947,December,Base November 1996=100,Base = 100,
Consumer Price Index,1947,December,Base December 2001=100,Base = 100,
Consumer Price Index,1947,December,Base December 2006=100,Base = 100,
Consumer Price Index,1947,December,Base December 2011=100,Base = 100,
Consumer Price Index,1947,December,Base December 2016=100,Base = 100,
Consumer Price Index,1947,December,Base December 2023=100,Base = 100,
Consumer Price Index,1948,January,Base July 1914=100,Base = 100,316
Consumer Price Index,1948,January,Base August 1947=100,Base = 100,99
Consumer Price Index,1948,January,Base August 1953=100,Base = 100,
Consumer Price Index,1948,January,Base November 1968=100,Base = 100,
Consumer Price Index,1948,January,Base November 1975=100,Base = 100,
Consumer Price Index,1948,January,Base November 1982=100,Base = 100,
Consumer Price Index,1948,January,Base November 1989=100,Base = 100,
Consumer Price Index,1948,January,Base November 1996=100,Base = 100,
Consumer Price Index,1948,January,Base December 2001=100,Base = 100,
Consumer Price Index,1948,January,Base December 2006=100,Base = 100,
Consumer Price Index,1948,January,Base December 2011=100,Base = 100,
Consumer Price Index,1948,January,Base December 2016=100,Base = 100,
Consumer Price Index,1948,January,Base December 2023=100,Base = 100,
