STATISTIC Label,year,month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,1922,August,Base July 1914=100,Base = 100,185
Consumer Price Index,1922,August,Base August 1947=100,Base = 100,
Consumer Price Index,1922,August,Base August 1953=100,Base = 100,
Consumer Price Index,1922,August,Base November 1968=100,Base = 100,
Consumer Price Index,1922,August,Base November 1975=100,Base = 100,
Consumer Price Index,1922,August,Base November 1982=100,Base = 100,
Consumer Price Index,1922,August,Base November 1989=100,Base = 100,
Consumer Price Index,1922,August,Base November 1996=100,Base = 100,
Consumer Price Index,1922,August,Base December 2001=100,Base = 100,
Consumer Price Index,1922,August,Base December 2006=100,Base = 100,
Consumer Price Index,1922,August,Base December 2011=100,Base = 100,
Consumer Price Index,1922,August,Base December 2016=100,Base = 100,
Consumer Price Index,1922,August,Base December 2023=100,Base = 100,
Consumer Price Index,1922,September,Base July 1914=100,Base = 100,185
Consumer Price Index,1922,September,Base August 1947=100,Base = 100,
Consumer Price Index,1922,September,Base August 1953=100,Base = 100,
Consumer Price Index,1922,September,Base November 1968=100,Base = 100,
Consumer Price Index,1922,September,Base November 1975=100,Base = 100,
Consumer Price Index,1922,September,Base November 1982=100,Base = 100,
Consumer Price Index,1922,September,Base November 1989=100,Base = 100,
Consumer Price Index,1922,September,Base November 1996=100,Base = 100,
Consumer Price Index,1922,September,Base December 2001=100,Base = 100,
Consumer Price Index,1922,September,Base December 2006=100,Base = 100,
Consumer Price Index,1922,September,Base December 2011=100,Base = 100,
Consumer Price Index,1922,September,Base December 2016=100,Base = 100,
Consumer Price Index,1922,September,Base December 2023=100,Base = 100,
Consumer Price Index,1922,October,Base July 1914=100,Base = 100,189
Consumer Price Index,1922,October,Base August 1947=100,Base = 100,
Consumer Price Index,1922,October,Base August 1953=100,Base = 100,
Consumer Price Index,1922,October,Base November 1968=100,Base = 100,
Consumer Price Index,1922,October,Base November 1975=100,Base = 100,
Consumer Price Index,1922,October,Base November 1982=100,Base = 100,
Consumer Price Index,1922,October,Base November 1989=100,Base = 100,
Consumer Price Index,1922,October,Base November 1996=100,Base = 100,
Consumer Price Index,1922,October,Base December 2001=100,Base = 100,
Consumer Price Index,1922,October,Base December 2006=100,Base = 100,
Consumer Price Index,1922,October,Base December 2011=100,Base = 100,
Consumer Price Index,1922,October,Base December 2016=100,Base = 100,
Consumer Price Index,1922,October,Base December 2023=100,Base = 100,
Consumer Price Index,1922,November,Base July 1914=100,Base = 100,189
Consumer Price Index,1922,November,Base August 1947=100,Base = 100,
Consumer Price Index,1922,November,Base August 1953=100,Base = 100,
Consumer Price Index,1922,November,Base November 1968=100,Base = 100,
Consumer Price Index,1922,November,Base November 1975=100,Base = 100,
Consumer Price Index,1922,November,Base November 1982=100,Base = 100,
Consumer Price Index,1922,November,Base November 1989=100,Base = 100,
Consumer Price Index,1922,November,Base November 1996=100,Base = 100,
Consumer Price Index,1922,November,Base December 2001=100,Base = 100,
Consumer Price Index,1922,November,Base December 2006=100,Base = 100,
Consumer Price Index,1922,November,Base December 2011=100,Base = 100,
Consumer Price Index,1922,November,Base December 2016=100,Base = 100,
Consumer Price Index,1922,November,Base December 2023=100,Base = 100,
Consumer Price Index,1922,December,Base July 1914=100,Base = 100,189
Consumer Price Index,1922,December,Base August 1947=100,Base = 100,
Consumer Price Index,1922,December,Base August 1953=100,Base = 100,
Consumer Price Index,1922,December,Base November 1968=100,Base = 100,
Consumer Price Index,1922,December,Base November 1975=100,Base = 100,
Consumer Price Index,1922,December,Base November 1982=100,Base = 100,
Consumer Price Index,1922,December,Base November 1989=100,Base = 100,
Consumer Price Index,1922,December,Base November 1996=100,Base = 100,
Consumer Price Index,1922,December,Base December 2001=100,Base = 100,
Consumer Price Index,1922,December,Base December 2006=100,Base = 100,
Consumer Price Index,1922,December,Base December 2011=100,Base = 100,
Consumer Price Index,1922,December,Base December 2016=100,Base = 100,
Consumer Price Index,1922,December,Base December 2023=100,Base = 100,
Consumer Price Index,1923,January,Base July 1914=100,Base = 100,190
Consumer Price Index,1923,January,Base August 1947=100,Base = 100,
Consumer Price Index,1923,January,Base August 1953=100,Base = 100,
Consumer Price Index,1923,January,Base November 1968=100,Base = 100,
Consumer Price Index,1923,January,Base November 1975=100,Base = 100,
Consumer Price Index,1923,January,Base November 1982=100,Base = 100,
Consumer Price Index,1923,January,Base November 1989=100,Base = 100,
Consumer Price Index,1923,January,Base November 1996=100,Base = 100,
Consumer Price Index,1923,January,Base December 2001=100,Base = 100,
Consumer Price Index,1923,January,Base December 2006=100,Base = 100,
Consumer Price Index,1923,January,Base December 2011=100,Base = 100,
Consumer Price Index,1923,January,Base December 2016=100,Base = 100,
Consumer Price Index,1923,January,Base December 2023=100,Base = 100,
Consumer Price Index,1923,February,Base July 1914=100,Base = 100,190
Consumer Price Index,1923,February,Base August 1947=100,Base = 100,
Consumer Price Index,1923,February,Base August 1953=100,Base = 100,
Consumer Price Index,1923,February,Base November 1968=100,Base = 100,
Consumer Price Index,1923,February,Base November 1975=100,Base = 100,
Consumer Price Index,1923,February,Base November 1982=100,Base = 100,
Consumer Price Index,1923,February,Base November 1989=100,Base = 100,
Consumer Price Index,1923,February,Base November 1996=100,Base = 100,
Consumer Price Index,1923,February,Base December 2001=100,Base = 100,
Consumer Price Index,1923,February,Base December 2006=100,Base = 100,
Consumer Price Index,1923,February,Base December 2011=100,Base = 100,
Consumer Price Index,1923,February,Base December 2016=100,Base = 100,
Consumer Price Index,1923,February,Base December 2023=100,Base = 100,
Consumer Price Index,1923,March,Base July 1914=100,Base = 100,190
Consumer Price Index,1923,March,Base August 1947=100,Base = 100,
Consumer Price Index,1923,March,Base August 1953=100,Base = 100,
Consumer Price Index,1923,March,Base November 1968=100,Base = 100,
Consumer Price Index,1923,March,Base November 1975=100,Base = 100,
Consumer Price Index,1923,March,Base November 1982=100,Base = 100,
Consumer Price Index,1923,March,Base November 1989=100,Base = 100,
Consumer Price Index,1923,March,Base November 1996=100,Base = 100,
Consumer Price Index,1923,March,Base December 2001=100,Base = 100,
Consumer Price Index,1923,March,Base December 2006=100,Base = 100,
Consumer Price Index,1923,March,Base December 2011=100,Base = 100,
Consumer Price Index,1923,March,Base December 2016=100,Base = 100,
Consumer Price Index,1923,March,Base December 2023=100,Base = 100,
Consumer Price Index,1923,April,Base July 1914=100,Base = 100,181
Consumer Price Index,1923,April,Base August 1947=100,Base = 100,
Consumer Price Index,1923,April,Base August 1953=100,Base = 100,
Consumer Price Index,1923,April,Base November 1968=100,Base = 100,
Consumer Price Index,1923,April,Base November 1975=100,Base = 100,
Consumer Price Index,1923,April,Base November 1982=100,Base = 100,
Consumer Price Index,1923,April,Base November 1989=100,Base = 100,
Consumer Price Index,1923,April,Base November 1996=100,Base = 100,
Consumer Price Index,1923,April,Base December 2001=100,Base = 100,
Consumer Price Index,1923,April,Base December 2006=100,Base = 100,
Consumer Price Index,1923,April,Base December 2011=100,Base = 100,
Consumer Price Index,1923,April,Base December 2016=100,Base = 100,
Consumer Price Index,1923,April,Base December 2023=100,Base = 100,
Consumer Price Index,1923,May,Base July 1914=100,Base = 100,181
Consumer Price Index,1923,May,Base August 1947=100,Base = 100,
Consumer Price Index,1923,May,Base August 1953=100,Base = 100,
Consumer Price Index,1923,May,Base November 1968=100,Base = 100,
Consumer Price Index,1923,May,Base November 1975=100,Base = 100,
Consumer Price Index,1923,May,Base November 1982=100,Base = 100,
Consumer Price Index,1923,May,Base November 1989=100,Base = 100,
Consumer Price Index,1923,May,Base November 1996=100,Base = 100,
Consumer Price Index,1923,May,Base December 2001=100,Base = 100,
Consumer Price Index,1923,May,Base December 2006=100,Base = 100,
Consumer Price Index,1923,May,Base December 2011=100,Base = 100,
Consumer Price Index,1923,May,Base December 2016=100,Base = 100,
Consumer Price Index,1923,May,Base December 2023=100,Base = 100,
Consumer Price Index,1923,June,Base July 1914=100,Base = 100,181
Consumer Price Index,1923,June,Base August 1947=100,Base = 100,
Consumer Price Index,1923,June,Base August 1953=100,Base = 100,
Consumer Price Index,1923,June,Base November 1968=100,Base = 100,
Consumer Price Index,1923,June,Base November 1975=100,Base = 100,
Consumer Price Index,1923,June,Base November 1982=100,Base = 100,
Consumer Price Index,1923,June,Base November 1989=100,Base = 100,
Consumer Price Index,1923,June,Base November 1996=100,Base = 100,
Consumer Price Index,1923,June,Base December 2001=100,Base = 100,
Consumer Price Index,1923,June,Base December 2006=100,Base = 100,
Consumer Price Index,1923,June,Base December 2011=100,Base = 100,
Consumer Price Index,1923,June,Base December 2016=100,Base = 100,
Consumer Price Index,1923,June,Base December 2023=100,Base = 100,
Consumer Price Index,1923,July,Base July 1914=100,Base = 100,180
Consumer Price Index,1923,July,Base August 1947=100,Base = 100,
Consumer Price Index,1923,July,Base August 1953=100,Base = 100,
Consumer Price Index,1923,July,Base November 1968=100,Base = 100,
